company_name,website,batch,team_size,fit_score,tech_stack,blog_url,customers_or_partners,location,priority_score
Pibit.ai,https://pibit.ai,W21,30.0,4,[],sitemap_blog,[],Palo Alto,3
Waydev,https://waydev.co,W21,15.0,3,['WordPress'],https://waydev.co/blog,"['delivery', 'health', 'planning', 'studio', 'customer center', 'case studies', 'dora metrics playbook', 'downlaod', 'dora metrics', 'cycle time']",San Francisco,3
DigiBuild,https://digibuild.com,S21,15.0,3,['WordPress'],https://digibuild.com/news,['customers'],"Miami, FL",3
SuperKalam,https://superkalam.com,W23,12.0,3,[],https://superkalam.com/blog,[],"Bengaluru, India",3
Infisical,https://infisical.com,W23,15.0,3,[],https://infisical.com/blog,[],San Francisco,3
Omnistrate,http://www.omnistrate.com,W23,15.0,3,['React'],,"['partner with omnistrate', 'benefits of integrating with omnistrate', 'accelerate innovation', 'shared customer success', 'expand your reach', 'community and collaboration', 'beautiful analytics to grow smarter', 'observability', 'alerting', 'auth']","Redwood City, CA",3
SnapTrade,https://snaptrade.com/,W22,17.0,3,['React'],,[],"Fredericton, Canada",3
Middleware,https://www.middleware.io,W23,40.0,3,[],https://www.middleware.io/blog,"['product', 'our platform', 'our solution', 'comparison', 'resources', 'company', 'security', 'middleware logos', 'customer success', 'bardeen']",San Francisco,3
Mystic,https://www.mystic.ai/,W21,11.0,4,['Error: HTTPSConnectionPool('],,[],"London, United Kingdom",1
Dataherald,http://dataherald.com/,W21,10.0,4,['Error: HTTPConnectionPool(h'],,[],"Los Angeles, CA",1
Salvy,https://www.salvy.com.br,W24,12.0,3,[],,[],"Curitiba, Brazil",1
Strobe,https://strobe.app,W22,15.0,3,[],,[],"Victoria, Canada",1
Rootly,https://rootly.com,S21,52.0,3,[],,[],San Francisco,0
